title,author,downloads
The Secret of the Totem,Andrew Lang,1380
Nationalism,Rabindranath Tagore,1379
Speeches against Catilina (Latin),Marcus Tullius Cicero,1379
"Principles of Political Economy, Vol. 1",Wilhelm Roscher,1378
"The Life and Most Surprising Adventures of Robinson Crusoe, of York, Mariner (1801)",Daniel Defoe,1377
諧鐸 (Chinese),Qifeng Shen,1377
Selections From Josephus,Flavius Josephus,1376
"The Temple of Nature; or, the Origin of Society",Erasmus Darwin,1376
Account of the Russian Discoveries between Asia and America,William Coxe,1376
Synonyms and antonyms ,Edith B. Ordway,1376
"The ""Characters"" of Jean de La Bruyère",Jean de La Bruyère,1375
"Encyclopaedia Britannica, 11th Edition, ""Cosway, Richard"" to ""Coucy, Le Châtelain de""",Various,1375
Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Vierter Band (German),Baron Thomas Babington Macaulay Macaulay,1375
"Lives of the Most Remarkable Criminals Who have been Condemned and Executed for Murder, the Highway, Housebreaking, Street Robberies, Coining or other offences",Unknown,1375
Crash dive,Claude C. Vickrey,1375
Virginia's Attitude Toward Slavery and Secession,Beverley B. Munford,1375
"A Political History of the State of New York, Volumes 1-3",De Alva Stanwood Alexander,1374
The English Language,R. G. Latham,1374
Galatea,Miguel de Cervantes Saavedra,1374
A History of Advertising from the Earliest Times.,Henry Sampson,1374
Das Urteil,Franz Kafka,1374
"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",Various,1374
Der Alptraum in seiner Beziehung zu gewissen Formen des mittelalterlichen Aberglaubens (German),Ernest Jones,1373
The Dance of Death,Gilles Corrozet and Jean de Vauzelles,1373
Contemporary American Composers,Rupert Hughes,1373
The Palace and Park,"R. G. Latham, F. K. J. Shenton, Samuel Phillips, Edward Forbes, Richard Owen, and George Scharf",1373
The Thoughts of Blaise Pascal,Blaise Pascal,1373
Fugitive Slaves (1619-1865),Marion Gleason McDougall,1373
"The Logic of Chance, 3rd edition",John Venn,1372
A Manual of Elementary Geology,Sir Charles Lyell,1371
Recollections of a Tour Made in Scotland A.D. 1803,Dorothy Wordsworth,1370
"The History of Painting in Italy, Vol. 3 (of 6)",Luigi Lanzi,1370
"Æsop's Fables, Embellished with One Hundred and Eleven Emblematical Devices.",Aesop,1370
The Cathedral Builders,Leader Scott,1370
Sappho,Henry Thornton Wharton,1370
Histoire de France 1415-1440 (Volume 6/19) (French),Jules Michelet,1369
The Expositor's Bible,H. C. G. Moule,1368
A Magician Among the Spirits,Harry Houdini,1368
"Les historiettes de Tallemant des Réaux, tome second (French)",Tallemant des Réaux,1367
Poezii (Romanian),Mihai Eminescu,1367
"Taras Bulba, and Other Tales",Nikolai Vasilevich Gogol,1367
Profile in black and white ,Howard H. Quint,1366
"Hung Lou Meng, or, the Dream of the Red Chamber, a Chinese Novel, Book I",Xueqin Cao,1366
The New Hudson Shakespeare,William Shakespeare,1366
Through South Africa,Henry M. Stanley,1366
"A Practical View of the Prevailing Religious System of Professed Christians, in the Middle and Higher Classes in this Country, Contrasted with Real Christianity.",William Wilberforce,1366
Lion and Dragon in Northern China,Sir Reginald Fleming Johnston,1365
Scottish Cathedrals and Abbeys,Dugald Butler,1365
"The First Governess of the Netherlands, Margaret of Austria",Eleanor E. Tremayne,1365
Saul,Antti Törneroos,1365
The Ancient Regime,Hippolyte Taine,1365
The Hairy Ape,Eugene O'Neill,1365
Index of the Project Gutenberg Works of Arthur Conan Doyle,Arthur Conan Doyle,1364
Ten Great Religions,James Freeman Clarke,1364
Clever Hans (The Horse of Mr. Von Osten),Oskar Pfungst,1364
The Life of George Borrow,Herbert George Jenkins,1364
The Surprising Adventures of Baron Munchausen,Rudolf Erich Raspe,1364
The Life of a Conspirator,Thomas Longueville,1364
The Winter's Tale,William Shakespeare,1363
"The Pioneers; Or, The Sources of the Susquehanna",James Fenimore Cooper,1363
The Book of Wonder,Lord Dunsany,1363
Washington Square,Henry James,1363
The Letters of Elizabeth Barrett Browning (Volume 1 of 2),Elizabeth Barrett Browning,1362
The future of an illusion,Sigmund Freud,1362
Greener Than You Think,Ward Moore,1362
"The works of John Dryden, now first collected in eighteen volumes. Volume 18",John Dryden,1362
"My Memoirs, Vol. I, 1802 to 1821",Alexandre Dumas,1361
When Winter Comes to Main Street,Grant M. Overton,1361
"The Works of Aphra Behn, Volume V",Aphra Behn,1360
On the Old Road  Vol. 1  (of 2),John Ruskin,1360
The Complete Poetical Works of Oliver Goldsmith,Oliver Goldsmith,1360
"The Story of My Life, volumes 1-3",Augustus J. C. Hare,1360
"De afstamming van den mensch en de seksueele teeltkeus, deel 1 (van 2) (Dutch)",Charles Darwin,1359
The Gourmet's Guide to Europe,Algernon Bastard and Lieut.-Col. Newnham-Davis,1359
Where Art Begins,Hume Nisbet,1359
"Anzeiger für Kunde der deutschen Vorzeit, 27. Band, 1880 (German)",Various,1358
Mungo Park and the Niger,Joseph Thomson,1358
The Polity of the Athenians and the Lacedaemonians,Xenophon,1358
The Napoleon of Notting Hill,G. K. Chesterton,1358
The Trojan Women of Euripides,Euripides,1358
"The Divine Comedy by Dante, Illustrated, Paradise, Complete",Dante Alighieri,1357
Maggie,Stephen Crane,1357
Popular Tales from the Norse,Unknown,1357
Gypsy folk-tales,Francis Hindes Groome,1356
Housekeeping in Old Virginia,Unknown,1356
Round the world in any number of days,Maurice Baring,1356
Florante at Laura (Tagalog),Francisco Balagtas,1356
The West Riding Territorials in the Great War,Laurie Magnus,1356
A history of the Japanese people ,F. Brinkley and Dairoku Kikuchi,1356
The Mystery of the Yellow Room,Gaston Leroux,1356
The Life of David Belasco; Vol. 2,William Winter and William Jefferson Winter,1356
Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 3 - (C suite) (French),Eugène-Emmanuel Viollet-le-Duc,1355
Under Fire,Henri Barbusse,1355
The Conquest of Bread,kniaz Petr Alekseevich Kropotkin,1355
Private Letters of Edward Gibbon (1753-1794) Volume 2 (of 2),Edward Gibbon,1355
Children Above 180 IQ Stanford-Binet,Leta Stetter Hollingworth,1354
The Complete Book of Cheese,Bob Brown,1354
The World I Live In,Helen Keller,1354
Cuore (Heart),Edmondo De Amicis,1353
A Voyage to the Moon,Cyrano de Bergerac,1353
"Norfolk Annals, Vol. 2",Charles Mackie,1353
"The Odysseys of Homer, together with the shorter poems",Homer,1352
English Caricaturists and Graphic Humourists of the Nineteenth Century.,Graham Everitt,1351
Architectural Antiquities of Normandy,Dawson Turner and John Sell Cotman,1351
A History of Art for Beginners and Students,Clara Erskine Clement Waters,1350
A Class-Book of New Testament History,G. F. Maclear,1350
"Encyclopaedia Britannica, 11th Edition, ""Bisharin"" to ""Bohea""",Various,1349
"Het boek van Siman den Javaan (Dutch)",E. F. E. Douwes Dekker,1349
"The Philippine Islands, 1493-1898 — Volume 20 of 55",Unknown,1349
Flowers and Flower-Gardens,David Lester Richardson,1349
The Way We Live Now,Anthony Trollope,1348
"England in America, 1580-1652",Lyon Gardiner Tyler,1348
"The Poems of Madison Cawein, Volume 3 (of 5)",Madison Julius Cawein,1347
"Motion pictures, 1912-1939 ",Library of Congress. Copyright Office,1347
"The Treaty of Waitangi; or, how New Zealand became a British Colony",Thomas Lindsay Buick,1347
"Samlede Værker, Andet Bind (Danish)",Jeppe Aakjær,1347
"Estudio descriptivo de los monumentos árabes de Granada, Sevilla y Córdoba (Spanish)",Rafael Contreras,1347
Rustic Speech and Folk-Lore,Elizabeth Mary Wright,1346
Life,Emily Dickinson,1346
At the mountains of madness,H. P. Lovecraft,1346
"Encyclopaedia Britannica, 11th Edition, ""Chariot"" to ""Chatelaine""",Various,1346
"The true prophecies or prognostications of Michael Nostradamus, physician to Henry II. Francis II. and Charles IX. Kings of France, and one of the best astronomers that ever were.",Nostradamus,1345
The history of the Jews,H. C. Adams,1345
醉醒石 (Chinese),active 17th century Donglugukuangsheng,1345
"The Malay Archipelago, Volume 1",Alfred Russel Wallace,1345
Types of Prose Narratives,Harriott Ely Fansler,1345
First Oration of Cicero Against Catiline (Latin),Marcus Tullius Cicero,1344
The Romance of Words (4th ed.),Ernest Weekley,1344
Last Poems by A. E. Housman,A. E. Housman,1344
Medieval English Nunneries c. 1275 to 1535,Eileen Power,1344
The Lost and Hostile Gospels,S. Baring-Gould,1344
The Forme of Cury,Samuel Pegge,1344
The Meaning of Truth,William James,1343
Germinal,Émile Zola,1343
Index of the Project Gutenberg Works of Richard F. Burton,Sir Richard Francis Burton,1343
"""Us, and our charge""",Amy Le Feuvre,1343
A Diary from Dixie,Mary Boykin Chesnut,1343
More toasts,Unknown,1342
The Tunnel Under the World,Frederik Pohl,1342
Trilby,George Du Maurier,1341
Medical symbolism in connection with historical studies in the arts of healing and hygiene,Thomas S. Sozinskey,1341
The Commercial Restraints of Ireland,John Hely-Hutchinson,1341
The Romance of Names,Ernest Weekley,1341
"Petrarch's Secret; or, the Soul's Conflict with Passion",Francesco Petrarca,1341
Speeches,Charles Dickens,1341
Complete Short Works of George Meredith,George Meredith,1340
A System of Logic,John Stuart Mill,1340
聊齋志異 (Chinese),Songling Pu,1340
The Story Girl,L. M. Montgomery,1340
Διονυσίου Σολωμού - Άπαντα τα Ευρισκόμενα (Modern Greek (1453-)),Dionysios Solomos,1340
The Glow-Worm and Other Beetles,Jean-Henri Fabre,1339
Ocean Steamships,"J. D. Jerrold Kelley, French Ensor Chadwick, John H. Gould, Ridgely Hunt, William H. Rideing, and A. E. Seaton",1339
The Standard Cantatas,George P. Upton,1338
"The Lovers Assistant; Or, New Art of Love",Henry Fielding and Ovid,1338
The Art of Modern Lace Making,Unknown,1338
"The History of Painting in Italy, Vol. 6 (of 6)",Luigi Lanzi,1338
Introduction to Mathematical Philosophy,Bertrand Russell,1338
"Selected Essays of Plutarch, Vol. II.",Plutarch,1338
Robert Boyle ,Flora Masson,1338
The Revolt on Venus,Carey Rockwell,1337
The Ornithology of Shakespeare,James Edmund Harting,1337
Telling Fortunes By Tea Leaves,Cicely Kent,1337
A critical history of Greek philosophy,W. T. Stace,1337
The Man That Corrupted Hadleyburg,Mark Twain,1336
The Dark Star,Robert W. Chambers,1335
The stories editors buy and why,Unknown,1335
Natural History of the Mammalia of India and Ceylon,Robert Armitage Sterndale,1335
Macchiavellis Buch vom Fürsten (German),Niccolò Machiavelli,1334
A girl's life eighty years ago ,Eliza Southgate Bowne,1334
The girl from Scotland Yard,Edgar Wallace,1334
The Physical Life of Woman,George H. Napheys,1334
文淵閣四庫全書 (Chinese),Various,1334
My Religion,graf Leo Tolstoy,1333
"The Junior Classics, Volume 2",Unknown,1333
"Library of the World's Best Literature, Ancient and Modern — Volume 04",Unknown,1333
Butterflies and Moths (British),William S. Furneaux,1333
"The Newcastle Song Book; or, Tyne-Side Songster",Various,1333
"Birds in Legend, Fable and Folklore",Ernest Ingersoll,1333
A Reading Book in Irish History,P. W. Joyce,1333
"The Military Journals of Two Private Soldiers, 1758-1775",Abraham Tomlinson,1332
"A Study of the Bhâgavata Purâna; or, Esoteric Hinduism",Unknown,1332
Milton,John Milton,1332
Critical and Historical Essays,Edward MacDowell,1332
A Cruising Voyage Around the World,Woodes Rogers,1332
"The History of Modern Painting, Volume 3 (of 4)",Richard Muther,1332
Le avventure di Pinocchio (Italian),Carlo Collodi,1332
Le tour du monde en quatre-vingts jours (French),Jules Verne,1332
The Book of Mormon ,Church of Jesus Christ of Latter-day Saints and Jr. Joseph Smith,1332
"The Book Review Digest, Volume 02, 1906",Various,1332
Kerfol,Edith Wharton,1332
The Scarlet Plague,Jack London,1332
"The best short stories of 1921, and the yearbook of the American short story",Unknown,1331
East of Suez,Frederic Courtland Penfield,1331
Ancient Armour and Weapons in Europe,John Hewitt,1330
"The Phantom World; or, The philosophy of spirits, apparitions, &c, &c.",Augustin Calmet,1330
A History of Chinese Literature,Herbert Allen Giles,1330
"The Jesuits, 1534-1921",Thomas J. Campbell,1329
Mason's Norwich General and Commercial Directory & Handbook,R. Hindry Mason,1329
"Frederick William Maitland, Downing Professor of the Laws of England",H. A. L. Fisher,1329
"Œuvres complètes de Gustave Flaubert, tome 1 (of 8)",Gustave Flaubert,1328
The English Spy,C. M. Westmacott,1328
The Story of King Arthur and his Knights,Howard Pyle,1328
"Youth, a Narrative",Joseph Conrad,1328
Obras dramáticas de Eurípides (1 de 3) (Spanish),Euripides,1327
"A history of the Peninsular War, Vol. 4, Dec. 1810-Dec. 1811 ",Charles Oman,1327
Contes Français (French),Unknown,1327
"Henry IV, Makers of History",John S. C. Abbott,1327
Beauty and the Beast,Jeanne-Marie Leprince de Beaumont,1327
"The Journal of the Debates in the Convention which Framed the Constitution of the United States, May-September 1787. Volume 1",James Madison and United States. Constitutional Convention,1326
"Ancient legends, Mystic Charms & Superstitions of Ireland",Lady Wilde,1326
The Soul of Man under Socialism,Oscar Wilde,1326
The Life of the Bee,Maurice Maeterlinck,1326
Old English Patent Medicines in America,George B. Griffenhagen and James Harvey Young,1326
"Lands of the Slave and the Free; Or, Cuba, the United States, and Canada",Henry A. Murray,1325
"Baily's Magazine of Sports and Pastimes, Volume 85",Various,1325
"Selections from American poetry, with special reference to Poe, Longfellow, Lowell and Whittier",Unknown,1324
Charles Dickens and Music,James T. Lightwood,1324
"Storia delle repubbliche italiane dei secoli di mezzo, v. 03 (of 16) (Italian)",J.-C.-L. Simonde de Sismondi,1324
"The engineer's sketch-book of mechanical movements, devices, appliances, contrivances and details employed in the design and construction of machinery for every purpose ",Thomas Walter Barber,1324
The Life of John Ruskin,W. G. Collingwood,1324
"Histoire des Plus Célèbres Amateurs Étrangers (French)",Antoine Jules Dumesnil,1323
Beasts and Super-Beasts,Saki,1323
The Letters of Henry James (Vol. I),Henry James,1323
The Autobiography of Upton Sinclair,Upton Sinclair,1323
Del sentimiento trágico de la vida (Spanish),Miguel de Unamuno,1323
The Origin and Growth of the Healing Art,Edward Berdoe,1323
Napoleon's Marshals,R. P. Dunn-Pattison,1323
Religion & Sex,Chapman Cohen,1323
"History of the United States of America, Volume 5 (of 9) ",Henry Adams,1322
The Land of Enchantment,Lilian Whiting,1322
"The Book Review Digest, Volume 13, 1917",Various,1321
The Great Boer War,Arthur Conan Doyle,1321
"Studies on Homer and the Homeric Age, Vol. 1 of 3",W. E. Gladstone,1321
The Philosophy of Friedrich Nietzsche,H. L. Mencken,1321
Early Printed Books,E. Gordon Duff,1321
A Pail of Air,Fritz Leiber,1321
Augustus,Evelyn S. Shuckburgh,1320
"The historians' history of the world in twenty-five volumes, volume 01 ",Unknown,1320
"Songs of Travel, and Other Verses",Robert Louis Stevenson,1320
"The Medals of Creation, Volumes 1 and 2",Gideon Algernon Mantell,1320
A Letter to a Hindu,graf Leo Tolstoy,1320
The Builders,Joseph Fort Newton,1320
Textiles and Clothing,Kate Heintz Watson,1320
How to get a government position,Anonymous,1320
Pictures from Italy,Charles Dickens,1320
The Manufacture of Paper,R. W. Sindall,1320
Rogers' Directory of Norwich and Neighbourhood,Edmund Dawson Rogers,1319
The Approach to Philosophy,Ralph Barton Perry,1319
Mission Furniture,H. H. Windsor,1318
The Romance of Biography (Vol 1 of 2),Mrs. Jameson,1318
A Harmony of the Gospels for Students of the Life of Christ,A. T. Robertson and John Albert Broadus,1318
A Text-Book of Astronomy,George C. Comstock,1318
"The English Utilitarians, Volume 1 (of 3)",Leslie Stephen,1318
The Mediterranean,"Grant Allen, H. D. Traill, Arthur Griffiths, T. G. Bonney, and Eustace A. Reynolds-Ball",1318
The Letters of Robert Burns,Robert Burns,1318
365 bedtime stories,Mary Graham Bonner,1317
Words; Their Use and Abuse,William Mathews,1317
Histoire de la Littérature Anglaise (Volume 4 de 5) (French),Hippolyte Taine,1317
"The art of music, Vol. 03 (of 14) ",Unknown,1317
The Discovery of the Source of the Nile,John Hanning Speke,1317
"Hyde Park, Its History and Romance",Mrs. Alec-Tweedie,1317
United States Steel,Arundel Cotter,1317
Peter Pan in Kensington Gardens,J. M. Barrie,1317
"The Oxford Book of English Verse, 1250-1900",Unknown,1317
Archeological Expedition to Arizona in 1895,Jesse Walter Fewkes,1317
Le dernier rapport d'un Européen sur Ghât et les Touareg de l'Aïr ,Erwin von Bary,1316
Nathaniel Hawthorne,Nathaniel Hawthorne,1316
Father Duffy's story ,Francis Patrick Duffy,1316
The Eleusinian Mysteries and Rites,Dudley Wright,1316
The evolution of religion ,Lewis Richard Farnell,1316
The palace of fantasy ,John Stockdale Hardy,1316
The origins of art; a psychological & sociological inquiry,Y. Hirn,1316
"The Works of Robert Louis Stevenson - Swanston Edition, Vol. 16",Robert Louis Stevenson,1315
The Earliest Arithmetics in English,Unknown,1315
The King of Elfland's Daughter,Lord Dunsany,1315
Cargoes for Crusoes,Grant M. Overton,1315
"Library of the World's Best Literature, Ancient and Modern — Volume 06",Unknown,1315
How to Enjoy Paris in 1842,Francis Hervé,1314
The book of the ancient Greeks,Dorothy Mills,1314
A Letter Book,George Saintsbury,1314
"Encyclopaedia Britannica, 11th Edition, ""Frost"" to ""Fyzabad""",Various,1313
"The ceramic art of Great Britain from pre-historic times down to the present day, Volume 1 (of 2) ",Llewellynn Frederick William Jewitt,1313
"Lives of the Most Eminent Painters Sculptors and Architects, Vol. 02 (of 10)",Giorgio Vasari,1313
The Lay of Havelok the Dane,Unknown,1313
The Enchanted Castle,E. Nesbit,1313
Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Dritter Band (German),Baron Thomas Babington Macaulay Macaulay,1312
"The Life, Times, and Scientific Labours of the Second Marquis of Worcester",Henry Dircks,1312
The prisoner of Zenda,Anthony Hope,1312
"Renaissance in Italy, Volume 5 (of 7)",John Addington Symonds,1312
"The Greville Memoirs, Part 2 (of 3), Volume 1 (of 3)",Charles Greville,1312
XII conti pomiglianesi (Italian),Vittorio Imbriani,1312
History of Gujarát,James M. Campbell,1312
Charmides,Plato,1312
Two Gentlemen of Verona,William Shakespeare,1311
The Valiants of Virginia,Hallie Erminie Rives,1311
"History of the Reign of Philip the Second, King of Spain, Vols. 1 and 2",William Hickling Prescott,1311
The dissolution of the monasteries ,Francis Aidan Hibbert,1311
"Modern Painters, Volume 3 (of 5)",John Ruskin,1311
Cynthia's Chauffeur,Louis Tracy,1311
Prayers of the Middle Ages,Unknown,1310
A Book for All Readers,Ainsworth Rand Spofford,1310
Selections from Ancient Irish Poetry,Unknown,1309
Murder at Bridge,Anne Austin,1309
The Torrents of Spring,Ivan Sergeevich Turgenev,1309
A Popular History of the Art of Music,W. S. B. Mathews,1309
Supplemental Nights to the Book of the Thousand and One Nights — Volume 3 (of 6),Unknown,1308
Maxims and Reflections,Johann Wolfgang von Goethe,1308
The Story of Verona,Alethea Wiel,1308
The Dynasts,Thomas Hardy,1308
Gleanings from the Harvest-Fields of Literature,Unknown,1308
Captain Blood,Rafael Sabatini,1307
This Freedom,A. S. M. Hutchinson,1307
A Treatise on Good Works,Martin Luther,1307
The Lenâpé and Their Legends,Daniel G. Brinton,1306
A Discourse Upon the Origin and the Foundation of the Inequality Among Mankind,Jean-Jacques Rousseau,1306
"The History of Java, v. 1-2",Sir Thomas Stamford Raffles,1306
Детство (Russian),graf Leo Tolstoy,1306
The New Gresham Encyclopedia. Ebert to Estremadura,Various,1306
Geschichte von England seit der Thronbesteigung Jakob's des Zweiten. Zweiter Band (German),Baron Thomas Babington Macaulay Macaulay,1306
Letters of Two Brides,Honoré de Balzac,1305
The Figure in the Carpet,Henry James,1305
The Story of Chartres,Cecil Headlam,1305
"Freaks of Fanaticism, and Other Strange Events",S. Baring-Gould,1305
"The Parochial History of Cornwall, Volume 4 (of 4)",Unknown,1304
The Grandeur That Was Rome,J. C. Stobart,1304
"The King Country; or, Explorations in New Zealand",J. H. Kerry-Nicholls,1304
History of Halifax City,Thomas B. Akins,1304
The 2007 CIA World Factbook,United States. Central Intelligence Agency,1304
Ancient Town-Planning,F. Haverfield,1303
Acetaria,John Evelyn,1303
"Pausanias' description of Greece, Volume I.",active approximately 150-175 Pausanias,1303
"Fornander collection of Hawaiian antiquities and folk-lore, Volume 3 (of 3) ",Unknown,1303
The Nō Plays of Japan,Arthur Waley,1302
Index of the Project Gutenberg Works of Marcus Aurelius Antoninus,Emperor of Rome Marcus Aurelius,1302
Outline of the history of the English language and literature,Anonymous,1302
"The War with Mexico, Volume 1 (of 2)",Justin Harvey Smith,1302
"Philosophical transactions, Vol. L. Part I. For the year 1757.",Various and Royal Society,1302
George Cruikshank's Omnibus,George Cruikshank,1301
The Collected Poems of Rupert Brooke,Rupert Brooke,1301
The History of the Telephone,Herbert Newton Casson,1301
Chambers's Twentieth Century Dictionary (part 2 of 4,Unknown,1301
Sumerian Hymns from Cuneiform Texts in the British Museum,Unknown,1301
The Wives of Henry the Eighth and the Parts They Played in History,Martin A. S. Hume,1300
"Ultima Thule; or, A Summer in Iceland. vol. 2/2",Sir Richard Francis Burton,1300
De Ellendigen (Deel 3 van 5) (Dutch),Victor Hugo,1300
Cats,Gordon Stables,1300
A Journey in Brazil,Louis Agassiz and Elizabeth Cabot Cary Agassiz,1299
"Mexico, Aztec, Spanish and Republican, Vol. 2 of 2",Brantz Mayer,1299
Memorials of old Durham,Unknown,1299
Irish Fairy Tales,James Stephens,1298
Amours De Voyage,Arthur Hugh Clough,1298
The Gospel According to Peter,Walter Richard Cassels,1297
Curiosities of Puritan Nomenclature,Charles Wareing Endell Bardsley,1297
Tablets of Abdul-Baha Abbas,ʻAbdu'l-Bahá,1297
"The Putumayo, the Devil's Paradise",W. E. Hardenburg,1297
"The historians' history of the world in twenty-five volumes, volume 04 ",Unknown,1297
Passages from the Life of a Philosopher,Charles Babbage,1297
"The Modern Regime, Volume 1",Hippolyte Taine,1297
"Claudian, volume 2 (of 2) (Latin)",Claudius Claudianus,1296
A View of Sir Isaac Newton's Philosophy,Henry Pemberton,1295
How to write photoplays,Embrie Zuver,1295
The Major Operations of the Navies in the War of American Independence,A. T. Mahan,1295
Railway Adventures and Anecdotes,Unknown,1295
The Orkney book ,Unknown,1295
An Introduction to Mythology,Lewis Spence,1294
The Italian Cook Book,Maria Gentile,1294
English Songs and Ballads,Unknown,1294
"Cristóbal Colón y el descubrimiento de América, Tomo 1 (Spanish)",Alexander von Humboldt,1294
A Mother's List of Books for Children,Gertrude Weld Arnold,1294
Cathedral Cities of Italy,W. W. Collins,1294
A voyage round the world ,comte Louis-Antoine de Bougainville,1294
Southern Literature From 1579-1895,Louise Manly,1294
三俠五義 (Chinese),active 19th century Yukun Shi,1293
"Narrative of the Circumnavigation of the Globe by the Austrian Frigate Novara, Volume I",Ritter von Karl Scherzer,1293
"The Great Events by Famous Historians, Volume 02",Unknown,1292
Saturday Night Thoughts,Orson F. Whitney,1292
Clairvoyance and Occult Powers,William Walker Atkinson,1292
The Prose Writings of Heinrich Heine,Heinrich Heine,1290
"My Memoirs, Vol. II, 1822 to 1825",Alexandre Dumas,1290
A Primer of Mayan Hieroglyphics,Daniel G. Brinton,1290
The peaches of New York,U. P. Hedrick,1289
Italian Hours,Henry James,1289
Enquire Within Upon Everything,Robert Kemp Philp,1288
The Illustrated Key to the Tarot,L. W. De Laurence,1288
Woman under socialism,August Bebel,1288
"Narrative of the Circumnavigation of the Globe by the Austrian Frigate Novara, Volume II",Ritter von Karl Scherzer,1288
"Etidorhpa; or, The End of Earth.",John Uri Lloyd,1288
Human Personality and Its Survival of Bodily Death,F. W. H. Myers,1288
The sagas of Olaf Tryggvason and of Harald the Tyrant (Harald Haardraade),Snorri Sturluson,1287
"The Female Quixote; or, The Adventures of Arabella, v. 1-2",Charlotte Lennox,1287
Antony and Cleopatra,William Shakespeare,1287
"The Letters of S. Ambrose, Bishop of Milan",Bishop of Milan Saint Ambrose,1286
The Silicon Jungle,David H. Rothman,1286
The Man from Snowy River,A. B. Paterson,1285
The Expositor's Bible,G. A. Chadwick,1284
Old English Poems,Unknown,1284
"A summer in Skye, Volume 1 (of 2)",Alexander Smith,1284
"Two Centuries of Costume in America, Volume 1 (1620-1820)",Alice Morse Earle,1283
The Boy Travellers in Australasia,Thomas Wallace Knox,1283
"A Middle English Vocabulary, Designed for use with Sisam's Fourteenth Century Verse & Prose",J. R. R. Tolkien,1283
"Mr. Punch's History of Modern England, Vol. 4 (of 4).—1892-1914",Charles L. Graves,1283
Sir Gawain and the Green Knight,Jessie L. Weston,1282
A Dog's Tale,Mark Twain,1282
Six metaphysical meditations,René Descartes,1282
Das Leben Tolstois (German),Romain Rolland,1282
"The Stones of Paris in History and Letters, Volume 2 (of 2)",Benjamin Ellis Martin and Charlotte M. Martin,1281
Curiosities of Civilization,Andrew Wynter,1281
The Tinguian,Fay-Cooper Cole,1281
"Chaucer's Works, Volume 6 —  Introduction, Glossary, and Indexes",Geoffrey Chaucer,1281
"Types of Naval Officers, Drawn from the History of the British Navy",A. T. Mahan,1280
The Revision Revised,John William Burgon,1280
Divina Commedia di Dante,Dante Alighieri,1280
The Art of Interior Decoration,Grace Wood and Emily Burbank,1280
Introductory lectures on psycho-analysis ,Sigmund Freud,1280
Four American poets ,Sherwin Cody,1280
Burgundy,Percy Allen,1279
Constantinople,William Holden Hutton,1279
Wunderbare Reise des kleinen Nils Holgersson mit den Wildgänsen,Selma Lagerlöf,1279
"Studies on Homer and the Homeric Age, Vol. 3 of 3",W. E. Gladstone,1278
"Leigh Hunt's Relations with Byron, Shelley and Keats",Barnette Miller,1278
"Narrative of the Circumnavigation of the Globe by the Austrian Frigate Novara, Volume III",Ritter von Karl Scherzer,1278
How to Invest Money,George Garr Henry,1278
"Character Sketches of Romance, Fiction, and the Drama, Vol. 2",Ebenezer Cobham Brewer,1278
"Inventors at Work, with Chapters on Discovery",George Iles,1278
"Uncle Remus, His Songs and His Sayings",Joel Chandler Harris,1278
"Bel Ami; Or, The History of a Scoundrel",Guy de Maupassant,1277
"History of Egypt, Chaldea, Syria, Babylonia, and Assyria in the Light of Recent Discovery",L. W. King and H. R. Hall,1277
Puck (Dutch),Marie Ovink-Soer,1277
Mythen en Legenden van Egypte (Dutch),Lewis Spence,1277
"The historians' history of the world in twenty-five volumes, volume 09 ",Unknown,1277
Fabian Essays in Socialism,Unknown,1276
"The Rivers of Great Britain, Descriptive, Historical, Pictorial",Various,1276
Little Journeys to the Homes of the Great - Volume 10,Elbert Hubbard,1276
Eugenie Grandet,Honoré de Balzac,1276
The Hermits,Charles Kingsley,1276
A supplementary report on the results of a special inquiry into the practice of interment in towns.,Edwin Chadwick,1276
The New World of Islam,Lothrop Stoddard,1276
The Life and Times of Queen Victoria; vol. 1 of 4,Robert Wilson and Edmund Ollier,1276
The Categories,Aristotle,1276
Navaho Legends,Unknown,1275
Hieroglyphic Tales,Horace Walpole,1275
Abraham Lincoln,William Henry Herndon and Jesse William Weik,1275
"The Cathedral Towns and Intervening Places of England, Ireland and Scotland",Thomas W. Silloway and Lee L. Powers,1275
The Life of Napoleon Bonaparte. Vol. 3 (of 4),William Milligan Sloane,1275
"Lives of the most Eminent Painters Sculptors and Architects, Vol. 06 (of 10)",Giorgio Vasari,1275
A Critic in Pall Mall,Oscar Wilde,1275
The Story of the Greeks,H. A. Guerber,1275
Damn! A Book of Calumny,H. L. Mencken,1274
"The History of Painting in Italy, Vol. 5 (of 6)",Luigi Lanzi,1274
The Ambassadors,Henry James,1274
"Memoirs of the Dukes of Urbino, Volume 3 (of 3)",James Dennistoun,1274
Myths & Legends of the Celtic Race,T. W. Rolleston,1274
American Fairy Tales,L. Frank Baum,1274
"The history of the Norman conquest of England, its causes and its results, Vol. 1",Edward A. Freeman,1273
Maman Léo (French),Paul Féval,1272
So sollt ihr leben! Winke und Rathschläge für Gesunde und Kranke... (German),Sebastian Kneipp,1272
Een huwelijk in Indië (Dutch),Mina Krüseman,1272
History of the Commune of 1871,Lissagaray,1272
