title,author,downloads
Memoirs of Fanny Hill,John Cleland,8433
"The Lives of the Twelve Caesars, Complete",Suetonius,8390
Titan,Jean Paul,8389
The Republic of Plato,Plato,8388
"The Philippine Islands, 1493-1898 — Volume 07 of 55",Unknown,8374
The Genealogy of Morals,Friedrich Wilhelm Nietzsche,8357
The call of the wild,Jack London,8333
The Vampyre; a Tale,John William Polidori,8289
Hamlet,William Shakespeare,8266
The Ballad of the White Horse,G. K. Chesterton,8263
Illustrated History of Furniture,Frederick Litchfield,8257
The Elementary Forms of the Religious Life,Émile Durkheim,8256
The Germany and the Agricola of Tacitus,Cornelius Tacitus,8150
"Incidents in the Life of a Slave Girl, Written by Herself",Harriet A. Jacobs,8145
The Works of Edgar Allan Poe — Volume 1,Edgar Allan Poe,8097
Vanity Fair,William Makepeace Thackeray,8066
Harriet Martineau,Florence Fenwick Miller,8060
Northanger Abbey,Jane Austen,8057
Just so stories,Rudyard Kipling,8014
Rizal's own story of his life,José Rizal,7972
The Lady with the Dog and Other Stories,Anton Pavlovich Chekhov,7963
"The Memoirs of the Conquistador Bernal Diaz del Castillo, Vol 1 (of 2)",Bernal Díaz del Castillo,7956
Apology,Plato,7945
Legends of the Bastille,Frantz Funck-Brentano,7906
The Pickwick Papers,Charles Dickens,7885
Myths and Legends of Ancient Greece and Rome,E. M. Berens,7882
The Castle of Otranto,Horace Walpole,7873
Twenty Thousand Leagues Under the Seas,Jules Verne,7867
Goethe's Theory of Colours,Johann Wolfgang von Goethe,7859
De Profundis,Oscar Wilde,7803
The Consolation of Philosophy,Boethius,7793
Perpetual Peace,Immanuel Kant,7780
Anthem,Ayn Rand,7764
The Sign of the Four,Arthur Conan Doyle,7748
Mosses from an old manse,Nathaniel Hawthorne,7748
The Tale of Peter Rabbit,Beatrix Potter,7634
La Odisea (Spanish),Homer,7608
Philippine Folk Tales,Unknown,7606
"The Happy Prince, and Other Tales",Oscar Wilde,7603
The Idiot,Fyodor Dostoyevsky,7589
The murder of Roger Ackroyd,Agatha Christie,7573
"Chaucer's Works, Volume 4 — The Canterbury Tales (Middle English (1100-1500))",Geoffrey Chaucer,7560
中國小說史略 (Chinese),Xun Lu,7554
"The Danish History, Books I-IX",Grammaticus Saxo,7482
The Roswell Report,James McAndrew,7471
A Connecticut Yankee in King Arthur's Court,Mark Twain,7461
The Anabasis of Alexander ,Arrian,7457
The First Book of Adam and Eve,Rutherford Hayes Platt,7443
Plays of Sophocles,Sophocles,7435
"Personal Memoirs of U. S. Grant, Complete",Ulysses S. Grant,7413
孽海花 (Chinese),Pu Zeng,7369
"The Wars of the Jews; Or, The History of the Destruction of Jerusalem",Flavius Josephus,7337
Hedda Gabler,Henrik Ibsen,7324
Phaedo,Plato,7317
Biographia Literaria,Samuel Taylor Coleridge,7280
The three musketeers,Alexandre Dumas and Auguste Maquet,7231
"She Stoops to Conquer; Or, The Mistakes of a Night",Oliver Goldsmith,7212
"The Story of Beowulf, Translated from Anglo-Saxon into Modern English Prose",Unknown,7208
The Marriage of Heaven and Hell,William Blake,7198
The Game of Rat and Dragon,Paul Myron Anthony Linebarger,7195
"The Birth of Tragedy; or, Hellenism and Pessimism",Friedrich Wilhelm Nietzsche,7172
The Return of Sherlock Holmes,Arthur Conan Doyle,7165
Apologia pro vita sua ,John Henry Newman,7142
"The Awakening, and Selected Short Stories",Kate Chopin,7142
"The Will to Believe, and Other Essays in Popular Philosophy",William James,7139
The Egyptian Book of the dead,Unknown,7093
Following the Equator,Mark Twain,7063
The Fall of the House of Usher,Edgar Allan Poe,7054
The Social Cancer,José Rizal,7036
Darkwater,W. E. B. Du Bois,7022
All About Coffee,William H. Ukers,6947
The Wind in the Willows,Kenneth Grahame,6916
Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Charles Mackay,6910
Bede's Ecclesiastical History of England,Saint the Venerable Bede,6906
A History of the Philippines,David P. Barrows,6887
The Underground Railroad from Slavery to Freedom,Wilbur Henry Siebert,6875
2 B R 0 2 B,Kurt Vonnegut,6872
A Dictionary of Cebuano Visayan,John U. Wolff,6860
二刻拍案惊奇 (Chinese),Mengchu Ling,6851
Nature,Ralph Waldo Emerson,6841
Utopia,Saint Thomas More,6840
Plutarch's Morals,Plutarch,6800
"The History of Rome, Books 01 to 08",Livy,6757
"Letters to His Son, Complete",Earl of Philip Dormer Stanhope Chesterfield,6755
Siddhartha,Hermann Hesse,6751
Anabasis,Xenophon,6750
雲形紋章 (Japanese),John Meade Falkner,6729
Arms and the Man,Bernard Shaw,6721
Devotions Upon Emergent Occasions; Together with Death's Duel,John Donne,6720
Democracy in America — Volume 2,Alexis de Tocqueville,6719
The art of money getting ,P. T. Barnum,6690
Fifteen sonnets of Petrarch,Francesco Petrarca,6663
Ethan Frome,Edith Wharton,6648
"The History of Don Quixote, Volume 1, Complete",Miguel de Cervantes Saavedra,6645
Mansfield Park,Jane Austen,6635
The Divine Comedy of Dante Alighieri,Dante Alighieri,6567
"The Influence of Sea Power Upon History, 1660-1783",A. T. Mahan,6546
Bradford's History of 'Plimoth Plantation',William Bradford,6541
The Grand Inquisitor,Fyodor Dostoyevsky,6527
An Enquiry Concerning Human Understanding,David Hume,6464
The Red Badge of Courage,Stephen Crane,6455
"Doctrina Christiana (Spanish) (Tagalog)",Unknown,6445
The Gilded Age,Mark Twain and Charles Dudley Warner,6445
Poems and Songs of Robert Burns,Robert Burns,6438
The Enchiridion,Epictetus,6435
The Tempest,William Shakespeare,6430
The Fairy Tales of Charles Perrault,Charles Perrault,6412
The Raven,Edgar Allan Poe,6401
"The Ivory Gate, a new edition",Walter Besant,6381
Euthyphro,Plato,6379
The Goat-gland Transplantation,Sydney Blanshard Flower,6376
A Treatise of Human Nature,David Hume,6336
An Occurrence at Owl Creek Bridge,Ambrose Bierce,6333
Cyrano de Bergerac,Edmond Rostand,6326
The Sea-Gull,Anton Pavlovich Chekhov,6313
The history of human marriage,Edward Westermarck,6276
"On Heroes, Hero-Worship, and the Heroic in History",Thomas Carlyle,6251
"The City of God, Volume I",Bishop of Hippo Saint Augustine,6250
Revelations of Divine Love,of Norwich Julian,6241
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,6228
Life and Letters of Charles Darwin — Volume 1,Charles Darwin,6228
White Fang,Jack London,6227
The Railway Children,E. Nesbit,6222
Explanation of Terms Used in Entomology,John Bernhard Smith,6216
"Philosophumena; or, The refutation of all heresies, Volume I",Antipope Hippolytus,6211
Omens and Superstitions of Southern India,Edgar Thurston,6174
Thought-Forms,Annie Besant and C. W. Leadbeater,6173
Plunkitt of Tammany Hall,George Washington Plunkitt,6172
R.U.R. (Rossum's Universal Robots),Karel Čapek,6168
The Anatomy of Melancholy,Robert Burton,6150
Swann's Way,Marcel Proust,6128
The Phantom of the Opera,Gaston Leroux,6118
"Curiosities of Literature,  Vol. 2",Isaac Disraeli,6092
The Early Poems of Alfred Lord Tennyson,Baron Alfred Tennyson Tennyson,6082
Fairy Tales of Hans Christian Andersen,H. C. Andersen,6075
Ecce Homo,Friedrich Wilhelm Nietzsche,6065
"The Doré Bible Gallery, Complete",Unknown,6040
Up from Slavery,Booker T. Washington,6024
Reflections; or Sentences and Moral Maxims,François duc de La Rochefoucauld,5996
Notre-Dame de Paris,Victor Hugo,5985
The History of Herodotus — Volume 2,Herodotus,5981
"A Dictionary of Slang, Cant, and Vulgar Words",John Camden Hotten,5973
The Younger Set,Robert W. Chambers,5960
Pele and Hiiaka,Nathaniel Bright Emerson,5943
Democracy and Education,John Dewey,5925
The Tenniel Illustrations for Carroll's Alice in Wonderland,John Tenniel,5918
The Antichrist,Friedrich Wilhelm Nietzsche,5918
Little Brother,Cory Doctorow,5911
Roughing It,Mark Twain,5892
Master and Man,graf Leo Tolstoy,5890
The Mysterious Affair at Styles,Agatha Christie,5888
"The Younger Edda; Also called Snorre's Edda, or The Prose Edda",Snorri Sturluson,5879
"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)",Unknown,5835
A History of Witchcraft in England from 1558 to 1718,Wallace Notestein,5831
Peter and Wendy,J. M. Barrie,5814
西遊記 (Chinese),Cheng'en Wu,5812
The Works of Lord Byron. Vol. 4,Baron George Gordon Byron Byron,5805
The Aesop for Children,Aesop,5799
Marmion,Walter Scott,5792
Baron Trump's Marvellous Underground Journey,Ingersoll Lockwood,5772
The Portrait of a Lady — Volume 1,Henry James,5768
Macbeth,William Shakespeare,5763
Mi Ultimo Adiós (Spanish),José Rizal,5756
A Princess of Mars,Edgar Rice Burroughs,5741
Letters of Asa Gray; Vol. 2,Asa Gray,5724
The Pursuit of God,A. W. Tozer,5710
An Essay on Man; Moral Essays and Satires,Alexander Pope,5707
A Midsummer Night's Dream,William Shakespeare,5705
Helps to Latin Translation at Sight,Edmund Luce,5696
The Tales of Mother Goose,Charles Perrault,5689
"Philosophumena; or, The refutation of all heresies, Volume II",Antipope Hippolytus,5673
The Aeneid,Virgil,5668
"The Garden Party, and Other Stories",Katherine Mansfield,5656
"Apology, Crito, and Phaedo of Socrates",Plato,5656
In Praise of Folly,Desiderius Erasmus,5635
The Satyricon — Complete,Petronius Arbiter,5632
"The Natural History of Pliny, Volume 5 (of 6)",the Elder Pliny,5629
As a man thinketh,James Allen,5623
Moby Word Lists,Grady Ward,5614
"Mexico, Aztec, Spanish and Republican, Vol. 1 of 2",Brantz Mayer,5604
International Law. A Treatise. Volume 2 (of 2),L. Oppenheim,5591
Theaetetus,Plato,5557
The Social Contract & Discourses,Jean-Jacques Rousseau,5554
English Wayfaring Life in the Middle Ages (XIVth Century),J. J. Jusserand,5553
Three hundred Aesop’s fables,Aesop,5528
The Man Who Was Thursday,G. K. Chesterton,5525
Eugene Oneguine [Onegin],Aleksandr Sergeevich Pushkin,5509
De Officiis (Latin),Marcus Tullius Cicero,5504
"Notes and Queries, Number 82, May 24, 1851",Various,5503
Autobiography of a Yogi,Paramahansa Yogananda,5496
Gargantua and Pantagruel,François Rabelais,5475
The Apostolic Tradition of Hippolytus,Antipope Hippolytus,5471
An Account of Egypt,Herodotus,5468
"Napoleon's Letters to Josephine, 1796-1812",Emperor of the French Napoleon I,5455
We,Evgenii Ivanovich Zamiatin,5436
The Book of the Courtier,conte Baldassarre Castiglione,5435
"A New System; or, an Analysis of Antient Mythology. Volume 2 (of 6)",Jacob Bryant,5429
Poems,Victor Hugo,5407
Black Beauty,Anna Sewell,5388
Degeneration,Max Simon Nordau,5369
"Poems, with The Ballad of Reading Gaol",Oscar Wilde,5334
Laws,Plato,5328
"Commentaries on the Laws of England, Book the First",Sir William Blackstone,5314
A Pickle for the Knowing Ones,Timothy Dexter,5305
Twas the Night before Christmas,Clement Clarke Moore,5297
The Complete Herbal,Nicholas Culpeper,5292
Notre-Dame de Paris - Tome 1 (French),Victor Hugo,5283
The Confessions of Jean Jacques Rousseau — Complete,Jean-Jacques Rousseau,5278
Jerome Cardan,W. G. Waters,5275
"The Canterbury Tales, and Other Poems",Geoffrey Chaucer,5268
Lamia,John Keats,5267
Princes and Poisoners,Frantz Funck-Brentano,5255
"Human, All Too Human",Friedrich Wilhelm Nietzsche,5255
"Studies in the Psychology of Sex, Volume 1",Havelock Ellis,5240
"Reliques of Ancient English Poetry, Volume 2 (of 3)",Unknown,5220
Boswell's Life of Johnson,James Boswell,5220
The Pilgrim's Progress from this world to that which is to come,John Bunyan,5204
Les Fleurs du Mal (French),Charles Baudelaire,5201
"Heimskringla; Or, The Chronicle of the Kings of Norway",Snorri Sturluson,5192
How We Think,John Dewey,5188
The Witch-cult in Western Europe,Margaret Alice Murray,5187
Spoon River Anthology,Edgar Lee Masters,5163
Hans Andersen's Fairy Tales. Second Series,H. C. Andersen,5161
Heath's Modern Language Series,Ernesto Nelson,5154
History of Lace,Mrs. Bury Palliser,5141
The island of Doctor Moreau,H. G. Wells,5139
The Poetical Works of William Wordsworth — Volume 3 (of 8),William Wordsworth,5124
Anne of the Island,L. M. Montgomery,5115
The Essays of Arthur Schopenhauer; Studies in Pessimism,Arthur Schopenhauer,5109
Rural Rides,William Cobbett,5092
International Law. A Treatise. Volume 1 (of 2),L. Oppenheim,5080
"Christmas in Ritual and Tradition, Christian and Pagan",Clement A. Miles,5075
The Flowers of Evil,Charles Baudelaire,5069
A Treatise on Painting,da Vinci Leonardo,5068
The slang dictionary ,John Camden Hotten,5048
王陽明全集 (Chinese),Yangming Wang,5042
Fox's Book of Martyrs,John Foxe,5032
The Argonautica,Rhodius Apollonius,5028
The Last of the Mohicans; A narrative of 1757,James Fenimore Cooper,5018
Die Verwandlung (German),Franz Kafka,5011
The Merry Adventures of Robin Hood,Howard Pyle,5005
"Brief Lives, Vol. 1",John Aubrey,4995
El paraíso perdido (Spanish),John Milton,4993
The Woman in White,Wilkie Collins,4986
"Satires of Circumstance, Lyrics and Reveries, with Miscellaneous Pieces",Thomas Hardy,4985
"Forty-Eighth Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1930-1931, Government Printing Office, Washington, 1933.",Unknown,4985
"The Tribes and Castes of the Central Provinces of India, Volume 1",R. V. Russell,4983
The Expositor's Bible,George Adam Smith,4974
More Letters of Charles Darwin — Volume 2,Charles Darwin,4967
The Eyes Have It,Philip K. Dick,4962
Amusements in Mathematics,Henry Ernest Dudeney,4960
Sir Gawayne and the Green Knight (Middle English (1100-1500)),Unknown,4948
"Hesiod, the Homeric Hymns, and Homerica",Hesiod,4946
